week,lecture,title,url
1,1,"1.1 Learning Language","https://youtu.be/DgKYu1pi3qg?si=MjbzEUjYhU6CuBr_"
1,2,"1.2 Sounds and Writing Symbols in English","https://youtu.be/xcc0U_U4xhg?si=1wGE3Pj7v4G733Wb"
1,3,"1.3 Speech Sounds in English","https://youtu.be/MMBrfQC0V9A?si=yO4J8Frk3BtKXbgz"
1,4,"1.4 Articulation of Vowel and Consonant Sounds in English","https://youtu.be/fC-UbX3MsGs?si=HG8c1HcMRaHC-iOu"
1,5,"1.5 Telephone English","https://youtu.be/VSwUcHGAMcE?si=zGz76xcSMmYleKDO"
2,1,"2.1 Stress in Words","https://youtu.be/8gud9XJsL6k?si=D7RuLTvQ1CrIF0aV"
2,2,"2.2 Plurality in English","https://youtu.be/42hufxqiOAk?si=Wj0DuGD7w0rGrhgc"
2,3,"2.3 Aspiration in English Words","https://youtu.be/htFNZapzHr8?si=rHwcV6A1eWbdQhQ6"
2,4,"2.4 Syllables and Stress in Words","https://youtu.be/6SrSSSEHWxk?si=8hqsyLgdnM_Armib"
2,5,"2.5 Aspiration, Stress and Syllabification","https://youtu.be/LdteKj-oE5I?si=1Oz-0erw__nq2v7p"
